cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Plasma cell,GO:0030137,COPI-coated vesicle,4/309,30/28573,2.944567407420147e-4,0.0041313173019258435,0.0030995446393896286,Tmed10/Gnas/Cope/Kdelr2,4
Plasma cell,GO:0030134,COPII-coated ER to Golgi transport vesicle,5/309,55/28573,3.2000711689241244e-4,0.004357743974152558,0.0032694225564859473,Tmed10/Sec23b/Sec24d/Lman1/Tmed9,5
Plasma cell,GO:1905368,peptidase complex,7/309,121/28573,3.56554292644596e-4,0.004716703928412798,0.0035387343330140356,Spcs1/Eny2/Sec11c/Vcp/Spcs2/Spcs3/Ide,7
Plasma cell,GO:0005788,endoplasmic reticulum lumen,6/309,89/28573,4.172447640508234e-4,0.005222468982317416,0.003918187482470722,Hsp90b1/Pdia6/Dnajc3/Mzb1/Hspa5/Manf,6
Plasma cell,GO:0044754,autolysosome,3/309,14/28573,4.1734633336013905e-4,0.005222468982317416,0.003918187482470722,Cln3/Lamp1/Ftl1,3
Plasma cell,GO:0005771,multivesicular body,5/309,59/28573,4.4460746918596e-4,0.005417191006134197,0.004064278804192987,Apoe/Cst3/Lamp1/H2-DMa/H2-Ab1,5
Plasma cell,GO:0005802,trans-Golgi network,10/309,254/28573,4.802316427820878e-4,0.0057012115540540165,0.004277366858787827,Plod3/Ms4a6b/Bet1l/Pam/Gnas/Cln3/Yipf2/Tgfbi/Arl5c/Pld4,10
Plasma cell,GO:0005776,autophagosome,6/309,92/28573,4.983602773909655e-4,0.005768520210800426,0.004327865566816281,Rpn2/Trp53inp1/Cln3/Lamp1/Ftl1/Irgm2,6
Plasma cell,GO:0030662,coated vesicle membrane,6/309,94/28573,5.589090065787229e-4,0.006170267702836758,0.004629278940402706,Ap2m1/Sec23b/Trf/Sec24d/Cope/Kdelr2,6
Plasma cell,GO:0030120,vesicle coat,5/309,62/28573,5.597219082486908e-4,0.006170267702836758,0.004629278940402706,Ap2m1/Sec23b/Trf/Sec24d/Cope,5
Plasma cell,GO:0005798,Golgi-associated vesicle,6/309,97/28573,6.60271851839564e-4,0.007109438776784142,0.00533389745672108,Tmed10/Bet1l/Gnas/Sppl3/Cope/Kdelr2,6
Plasma cell,GO:0005767,secondary lysosome,3/309,18/28573,9.06077884366917e-4,0.009378335039123597,0.00703614996683139,Cln3/Lamp1/Ftl1,3
Plasma cell,GO:0031985,Golgi cisterna,5/309,69/28573,9.141634022493139e-4,0.009378335039123597,0.00703614996683139,Gorasp2/St6gal1/Yipf2/Bet1/Hid1,5
Plasma cell,GO:0005765,lysosomal membrane,9/309,230/28573,9.520124121788532e-4,0.009378335039123597,0.00703614996683139,Pld3/Laptm5/Cln3/Lamp1/H2-DMa/H2-Eb1/B2m/H2-Ab1/Lamtor5,9
Plasma cell,GO:0098852,lytic vacuole membrane,9/309,230/28573,9.520124121788532e-4,0.009378335039123597,0.00703614996683139,Pld3/Laptm5/Cln3/Lamp1/H2-DMa/H2-Eb1/B2m/H2-Ab1/Lamtor5,9
Plasma cell,GO:0042611,MHC protein complex,4/309,42/28573,0.001086222779150757,0.010477523890558343,0.007860822743854162,H2-DMa/H2-Eb1/B2m/H2-Ab1,4
Plasma cell,GO:1904949,ATPase complex,7/309,148/28573,0.001179165124901137,0.011141907200596457,0.008359280155045655,Atp5mc1/Chd3/Vcp/Actb/Mcrs1/Smarce1/Rbbp4,7
Plasma cell,GO:0098802,plasma membrane signaling receptor complex,8/309,198/28573,0.0014764336582956214,0.013671775675817455,0.010257328573422212,Cd3g/Tfrc/Zap70/Ikbkb/Trf/Lyn/Skap1/B2m,8
Plasma cell,GO:0001726,ruffle,7/309,156/28573,0.0015966999918678815,0.014244017049559451,0.010686655965339593,S100a6/Eps8l1/Rhoa/Nme2/Lcp1/Myh9/Gnas,7
Plasma cell,GO:0045335,phagocytic vesicle,6/309,115/28573,0.0015997600142053812,0.014244017049559451,0.010686655965339593,Myh9/Sec61a1/Coro1a/Lamp1/Pld4/B2m,6
Plasma cell,GO:0042101,T cell receptor complex,3/309,22/28573,0.0016561736555454044,0.014468083066368344,0.01085476278709004,Cd3g/Zap70/Skap1,3
Plasma cell,GO:0000786,nucleosome,6/309,120/28573,0.0019859156038166503,0.017027387491983504,0.012774895697066172,Macroh2a1/H3f3b/Irf4/Actb/Morf4l2/H1f0,6
Plasma cell,GO:0030666,endocytic vesicle membrane,4/309,50/28573,0.002088782824843862,0.017583753598231056,0.013192312577961236,Ap2m1/Sec61a1/Lamp1/B2m,4
Plasma cell,GO:0098576,lumenal side of membrane,3/309,25/28573,0.002414987605457591,0.019966772523694012,0.01498018627445498,H13/Dnajc19/Sppl3,3
Plasma cell,GO:0010008,endosome membrane,10/309,316/28573,0.0024702064369914885,0.020065010181176478,0.015053889643715445,Abhd17a/Pld3/Tfrc/Cln3/Lamp1/H2-DMa/H2-Eb1/B2m/H2-Ab1/Lamtor5,10
Plasma cell,GO:0001725,stress fiber,5/309,89/28573,0.0028344677171523976,0.022243365305789155,0.016688213142913313,Cnn2/Lcp1/Myh9/Actb/Coro2b,5
Plasma cell,GO:0097517,contractile actin filament bundle,5/309,89/28573,0.0028344677171523976,0.022243365305789155,0.016688213142913313,Cnn2/Lcp1/Myh9/Actb/Coro2b,5
Plasma cell,GO:0030670,phagocytic vesicle membrane,3/309,28/28573,0.0033585342264578076,0.025916689114166083,0.019444145521597834,Sec61a1/Lamp1/B2m,3
Plasma cell,GO:0070603,SWI/SNF superfamily-type complex,5/309,94/28573,0.0035885303088026535,0.02723753332746932,0.02043511651259492,Chd3/Actb/Mcrs1/Smarce1/Rbbp4,5
Plasma cell,GO:0002102,podosome,3/309,29/28573,0.003716360243145816,0.027752819235105048,0.020821712737489294,Actr2/Lcp1/Actb,3
Plasma cell,GO:0030117,membrane coat,5/309,98/28573,0.0042877664614577845,0.03007933138871143,0.022567191902409394,Ap2m1/Sec23b/Trf/Sec24d/Cope,5
Plasma cell,GO:0032432,actin filament bundle,5/309,98/28573,0.0042877664614577845,0.03007933138871143,0.022567191902409394,Cnn2/Lcp1/Myh9/Actb/Coro2b,5
Plasma cell,GO:0042641,actomyosin,5/309,98/28573,0.0042877664614577845,0.03007933138871143,0.022567191902409394,Cnn2/Lcp1/Myh9/Actb/Coro2b,5
Plasma cell,GO:0048475,coated membrane,5/309,98/28573,0.0042877664614577845,0.03007933138871143,0.022567191902409394,Ap2m1/Sec23b/Trf/Sec24d/Cope,5
Plasma cell,GO:0031248,protein acetyltransferase complex,5/309,99/28573,0.004476723366615236,0.030936162966311256,0.023210034736575454,Eny2/Actb/Naa10/Morf4l2/Mcrs1,5
Plasma cell,GO:0031932,TORC2 complex,2/309,10/28573,0.004953639440507356,0.033239638564563856,0.024938230592943214,Sesn3/Prr5,2
Plasma cell,GO:0140092,bBAF complex,2/309,10/28573,0.004953639440507356,0.033239638564563856,0.024938230592943214,Actb/Smarce1,2
Plasma cell,GO:0070971,endoplasmic reticulum exit site,3/309,33/28573,0.005375465632610691,0.03521973258848403,0.026423807557575833,Sec23b/Sec24d/Preb,3
Plasma cell,GO:0019897,extrinsic component of plasma membrane,6/309,147/28573,0.005400866120480272,0.03521973258848403,0.026423807557575833,Lck/Apoe/Ap2m1/Zap70/Gnas/Lyn,6
Plasma cell,GO:1902493,acetyltransferase complex,5/309,104/28573,0.005511243193300986,0.035440355534699396,0.02658933119575038,Eny2/Actb/Naa10/Morf4l2/Mcrs1,5
Plasma cell,GO:0031252,cell leading edge,11/309,415/28573,0.005848992044470479,0.03659615498973528,0.027456476404712153,S100a6/Eps8l1/Rhoa/Actr2/Nme2/Lcp1/Myh9/Gnas/Actb/Coro1a/Thy1,11
Plasma cell,GO:0008180,COP9 signalosome,3/309,34/28573,0.005849061488640195,0.03659615498973528,0.027456476404712153,Myh9/Hspa5/Lat,3
Plasma cell,GO:0031904,endosome lumen,2/309,11/28573,0.006011383067779255,0.03689364121786464,0.02767966716356788,Ide/Gapdh,2
Plasma cell,GO:0043235,receptor complex,11/309,417/28573,0.006055975664271518,0.03689364121786464,0.02767966716356788,Cd3g/Tfrc/Zap70/Cr2/Ikbkb/Trf/Gpr160/Lyn/Cd8a/Skap1/B2m,11
Plasma cell,GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,2/309,12/28573,0.007162394929953638,0.04306738769569526,0.03231155607497882,H13/Sppl3,2
Plasma cell,GO:0005905,clathrin-coated pit,4/309,72/28573,0.007755366519129665,0.046035060235346606,0.03453806951839122,Bcl2l1/Tfrc/Ap2m1/Trf,4
Plasma cell,GO:0005881,cytoplasmic microtubule,5/309,114/28573,0.008066884156257288,0.046883197901596896,0.03517438969541202,Serp1/Hid1/Tmem214/Tuba1a/Selenos,5
Plasma cell,GO:0055037,recycling endosome,6/309,161/28573,0.008307801665712466,0.046883197901596896,0.03517438969541202,Abhd17a/Tfrc/Gnas/Cln3/Trf/Tuba1a,6
Plasma cell,GO:0038201,TOR complex,2/309,13/28573,0.00840454735600981,0.046883197901596896,0.03517438969541202,Sesn3/Prr5,2
Plasma cell,GO:0044322,endoplasmic reticulum quality control compartment,2/309,13/28573,0.00840454735600981,0.046883197901596896,0.03517438969541202,Edem1/Sec61b,2
Plasma cell,GO:0060187,cell pole,2/309,13/28573,0.00840454735600981,0.046883197901596896,0.03517438969541202,Slc3a2/Trf,2
Plasma cell,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,4/309,74/28573,0.008529846651059676,0.047015702374293214,0.035273801940472346,Lck/Zap70/Gnas/Lyn,4
Plasma cell,GO:0032040,small-subunit processome,4/309,75/28573,0.008935358829012936,0.04867142515097635,0.03651601750556371,Rps19/Rps27rt/Rps28/Rps27,4
Plasma cell,GO:0000421,autophagosome membrane,3/309,40/28573,0.009208927196210229,0.049008428641900414,0.03676885631880672,Rpn2/Lamp1/Irgm2,3
Plasma cell,GO:0032154,cleavage furrow,3/309,40/28573,0.009208927196210229,0.049008428641900414,0.03676885631880672,Rhoc/Rhoa/Myh9,3
T cell,GO:0022626,cytosolic ribosome,9/98,142/28573,1.5482876369859708e-9,3.870719092464927e-7,2.6891311589756335e-7,Rpl13/Rpl10/Ubb/Rps29/Rpl21/Rps27rt/Rpl35/Rps28/Uba52,9
T cell,GO:0044391,ribosomal subunit,9/98,215/28573,5.7651847397480514e-8,7.206480924685064e-6,5.006607800307519e-6,Rpl13/Rpl10/Ubb/Rps29/Rpl21/Rps27rt/Rpl35/Rps28/Uba52,9
T cell,GO:0005840,ribosome,9/98,267/28573,3.618560046704274e-7,2.932329834891306e-5,2.0371975695034337e-5,Rpl13/Rpl10/Ubb/Rps29/Rpl21/Rps27rt/Rpl35/Rps28/Uba52,9
T cell,GO:0022627,cytosolic small ribosomal subunit,5/98,45/28573,4.6917277358260897e-7,2.932329834891306e-5,2.0371975695034337e-5,Ubb/Rps29/Rps27rt/Rps28/Uba52,5
T cell,GO:0043209,myelin sheath,8/98,208/28573,6.187836120263927e-7,3.0939180601319635e-5,2.149458862828522e-5,Ubb/Glul/Actb/Thy1/Gapdh/Eno1/Hba-a1/Uba52,8
T cell,GO:0022625,cytosolic large ribosomal subunit,5/98,79/28573,7.893198380751691e-6,3.288832658646538e-4,2.2848732154807529e-4,Rpl13/Rpl10/Rpl21/Rpl35/Uba52,5
T cell,GO:0015935,small ribosomal subunit,5/98,83/28573,1.0059084606446797e-5,3.592530216588142e-4,2.4958630978401825e-4,Ubb/Rps29/Rps27rt/Rps28/Uba52,5
T cell,GO:0140534,endoplasmic reticulum protein-containing complex,5/98,135/28573,1.0436945457939851e-4,0.003107001241677336,0.0021585482310600436,Derl3/Hsp90b1/Mzb1/Rpn1/Sec61b,5
T cell,GO:0015934,large ribosomal subunit,5/98,137/28573,1.1185204470038409e-4,0.003107001241677336,0.0021585482310600436,Rpl13/Rpl10/Rpl21/Rpl35/Uba52,5
T cell,GO:0005790,smooth endoplasmic reticulum,3/98,33/28573,1.980863861258801e-4,0.004952159653147002,0.003440447759028444,Rpl10/Hsp90b1/Prdx4,3
T cell,GO:0031904,endosome lumen,2/98,11/28573,6.27635689063312e-4,0.014264447478711636,0.009910037195736507,Ide/Gapdh,2
T cell,GO:0034663,endoplasmic reticulum chaperone complex,2/98,12/28573,7.514795894913123e-4,0.015655824781069007,0.010876678268953206,Hsp90b1/Mzb1,2
T cell,GO:0044322,endoplasmic reticulum quality control compartment,2/98,13/28573,8.861279163839806e-4,0.017040921468922703,0.011838955967883145,Edem1/Sec61b,2
T cell,GO:0034719,SMN-Sm protein complex,2/98,19/28573,0.001916790048857273,0.034228393729594166,0.023779726170033842,Snrpd1/Gemin7,2
