cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
B cell,GO:0002639,positive regulation of immunoglobulin production,4/207,84/28891,0.0031586378419059865,0.0361686156253949,0.029198845834947054,Cd40/Xbp1/Mzb1/Clcf1,4
B cell,GO:0043368,positive T cell selection,3/207,41/28891,0.003162341800465572,0.0361686156253949,0.029198845834947054,Cd3g/Zap70/Cd3e,3
B cell,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,7/207,266/28891,0.0031814690858170875,0.0361686156253949,0.029198845834947054,Lck/Cd40/Tnk2/Thy1/Cd3e/Parp14/Clcf1,7
B cell,GO:0002176,male germ cell proliferation,2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Prdx4/Uchl1,2
B cell,GO:0033262,regulation of nuclear cell cycle DNA replication,2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Aicda/Nuggc,2
B cell,GO:0033632,regulation of cell-cell adhesion mediated by integrin,2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Cd3e/Skap1,2
B cell,GO:0046166,glyceraldehyde-3-phosphate biosynthetic process,2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Gapdh/Eno1,2
B cell,GO:0060767,epithelial cell proliferation involved in prostate gland development,2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Cdkn1b/Eaf2,2
B cell,GO:1904152,"regulation of retrograde protein transport, ER to cytosol",2/207,12/28891,0.003216104758631849,0.0361686156253949,0.029198845834947054,Derl3/Edem1,2
B cell,GO:0009117,nucleotide metabolic process,10/207,497/28891,0.0032743689296980934,0.036680576453699654,0.029612150713796397,Adss1/Ndufa12/Hint1/Nme2/Ndufv3/Snca/Ndufa8/Dut/Ndufc2/Eno1,10
B cell,GO:0051282,regulation of sequestering of calcium ion,5/207,139/28891,0.0033311131563405045,0.03717160766319501,0.030008559156262073,Lck/Snca/Cacna1s/Thy1/Camk2d,5
B cell,GO:0014059,regulation of dopamine secretion,3/207,42/28891,0.0033877920156427125,0.037513281588597576,0.03028439178355915,Snca/Prkcb/Pcp4,3
B cell,GO:0018208,peptidyl-proline modification,3/207,42/28891,0.0033877920156427125,0.037513281588597576,0.03028439178355915,Fkbp11/Prdx4/Ppia,3
B cell,GO:0010811,positive regulation of cell-substrate adhesion,5/207,140/28891,0.003434769999475534,0.03767746338673756,0.030416935397128586,Myh9/Ccn1/Thy1/Cd3e/Skap1,5
B cell,GO:0042102,positive regulation of T cell proliferation,5/207,140/28891,0.003434769999475534,0.03767746338673756,0.030416935397128586,Icosl/Zap70/Cd3e/Selenok/Rasal3,5
B cell,GO:0090150,establishment of protein localization to membrane,7/207,270/28891,0.0034529464278753234,0.03767746338673756,0.030416935397128586,Srp9/Nacad/Sec61b/Wdr83os/Naca/Irgm2/Srp54a,7
B cell,GO:0071900,regulation of protein serine/threonine kinase activity,8/207,343/28891,0.0034549671184781923,0.03767746338673756,0.030416935397128586,Cdkn1b/Cd40/Snca/Cdk5rap1/Uchl1/Actb/Thy1/Irgm2,8
B cell,GO:0051208,sequestering of calcium ion,5/207,141/28891,0.003540725876727035,0.038466980373951444,0.03105431076787803,Lck/Snca/Cacna1s/Thy1/Camk2d,5
B cell,GO:0043087,regulation of GTPase activity,8/207,345/28891,0.0035779044792245054,0.038630217309740554,0.03118609159609775,Cd40/Gnas/Bcar3/Ccl22/Thy1/Als2cl/Rasal3/Rasgrp3,8
B cell,GO:0006898,receptor-mediated endocytosis,7/207,272/28891,0.0035951358750674427,0.038630217309740554,0.03118609159609775,Fcer2a/Sdc1/Tnk2/Ifitm3/Snca/Marco/Fcgr2b,7
B cell,GO:0009124,nucleoside monophosphate biosynthetic process,3/207,43/28891,0.003622840803622768,0.038630217309740554,0.03118609159609775,Adss1/Nme2/Dut,3
B cell,GO:0030261,chromosome condensation,3/207,43/28891,0.003622840803622768,0.038630217309740554,0.03118609159609775,H3f3b/Cdk1/H1f0,3
B cell,GO:0042832,defense response to protozoan,3/207,43/28891,0.003622840803622768,0.038630217309740554,0.03118609159609775,Cd40/Gbp8/Irgm2,3
B cell,GO:0072384,organelle transport along microtubule,4/207,88/28891,0.0037337485026668195,0.0391769026619324,0.031627429508618396,Ubb/Uchl1/Sun2/Bloc1s1,4
B cell,GO:0006568,tryptophan metabolic process,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Il4i1/Il4i1b,2
B cell,GO:0006586,indolalkylamine metabolic process,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Il4i1/Il4i1b,2
B cell,GO:0006880,intracellular sequestering of iron ion,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Fth1/Ftl1,2
B cell,GO:0010992,ubiquitin recycling,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Ide/Ube2s,2
B cell,GO:0034116,positive regulation of heterotypic cell-cell adhesion,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Lck/Skap1,2
B cell,GO:0046073,dTMP metabolic process,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Nme2/Dut,2
B cell,GO:0048102,autophagic cell death,2/207,13/28891,0.003782972886424872,0.0391769026619324,0.031627429508618396,Cdkn1b/Trp53inp1,2
B cell,GO:0071216,cellular response to biotic stimulus,8/207,349/28891,0.0038339359096597886,0.03956237091007359,0.03193861719875047,Xbp1/Pdcd4/Cr2/Fcgr2b/Rara/Aicda/Nuggc/Irgm2,8
B cell,GO:0051154,negative regulation of striated muscle cell differentiation,3/207,44/28891,0.003867612146578225,0.03976734060713825,0.03210408879565685,Xbp1/Bhlhe41/Bhlha15,3
B cell,GO:0034728,nucleosome organization,4/207,89/28891,0.003887882408522647,0.03983349983678541,0.032157498999880144,Supt16/Nap1l1/H2ac25/H1f0,4
B cell,GO:0002707,negative regulation of lymphocyte mediated immunity,4/207,90/28891,0.004046268827928197,0.041163278995071655,0.03323102686280625,Cr2/Fcgr2b/Il4i1/Il4i1b,4
B cell,GO:0031507,heterochromatin formation,4/207,90/28891,0.004046268827928197,0.041163278995071655,0.03323102686280625,H3f3b/Aicda/Kmt2d/H1f0,4
B cell,GO:0046634,regulation of alpha-beta T cell activation,5/207,146/28891,0.004105982845449035,0.04149611284969624,0.03349972291992077,Zap70/Cd3e/Rara/Cd160/Rasal3,5
B cell,GO:0045066,regulatory T cell differentiation,3/207,45/28891,0.004122225868361627,0.04149611284969624,0.03349972291992077,Lck/Il4i1/Il4i1b,3
B cell,GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",3/207,45/28891,0.004122225868361627,0.04149611284969624,0.03349972291992077,Cd3e/Rara/Cd160,3
B cell,GO:0045069,regulation of viral genome replication,4/207,92/28891,0.004376015649098447,0.043162602588203654,0.03484507651222232,Slpi/Ifitm3/Aicda/Ppia,4
B cell,GO:0002347,response to tumor cell,3/207,46/28891,0.004386797700391403,0.043162602588203654,0.03484507651222232,Cd160/Il4i1/Il4i1b,3
B cell,GO:0002069,columnar/cuboidal epithelial cell maturation,2/207,14/28891,0.004392720582960636,0.043162602588203654,0.03484507651222232,Xbp1/Bhlha15,2
B cell,GO:0009130,pyrimidine nucleoside monophosphate biosynthetic process,2/207,14/28891,0.004392720582960636,0.043162602588203654,0.03484507651222232,Nme2/Dut,2
B cell,GO:0036093,germ cell proliferation,2/207,14/28891,0.004392720582960636,0.043162602588203654,0.03484507651222232,Prdx4/Uchl1,2
B cell,GO:0045060,negative thymic T cell selection,2/207,14/28891,0.004392720582960636,0.043162602588203654,0.03484507651222232,Zap70/Cd3e,2
B cell,GO:0097577,sequestering of iron ion,2/207,14/28891,0.004392720582960636,0.043162602588203654,0.03484507651222232,Fth1/Ftl1,2
B cell,GO:0022613,ribonucleoprotein complex biogenesis,9/207,440/28891,0.004660486880235579,0.04563789703468786,0.03684337641088493,Nhp2/Snrpd1/Rpl10/Rps27rt/Mdn1/Rps12/Rpl35/Nol7/Rps28,9
B cell,GO:0006163,purine nucleotide metabolic process,9/207,444/28891,0.004938587693127061,0.04715493845031904,0.03806808069260322,Adss1/Ndufa12/Hint1/Nme2/Ndufv3/Snca/Ndufa8/Ndufc2/Eno1,9
B cell,GO:0001562,response to protozoan,3/207,48/28891,0.004946258548327885,0.04715493845031904,0.03806808069260322,Cd40/Gbp8/Irgm2,3
B cell,GO:0002701,negative regulation of production of molecular mediator of immune response,3/207,48/28891,0.004946258548327885,0.04715493845031904,0.03806808069260322,Vpreb3/Fcgr2b/Prg2,3
B cell,GO:0014046,dopamine secretion,3/207,48/28891,0.004946258548327885,0.04715493845031904,0.03806808069260322,Snca/Prkcb/Pcp4,3
B cell,GO:0072331,signal transduction by p53 class mediator,5/207,153/28891,0.005001812141290886,0.04715493845031904,0.03806808069260322,Ubb/Hint1/Rbm38/Rnf34/Foxo3,5
B cell,GO:0002638,negative regulation of immunoglobulin production,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Vpreb3/Fcgr2b,2
B cell,GO:0002713,negative regulation of B cell mediated immunity,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Cr2/Fcgr2b,2
B cell,GO:0002890,negative regulation of immunoglobulin mediated immune response,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Cr2/Fcgr2b,2
B cell,GO:0006465,signal peptide processing,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,H13/Sec11c,2
B cell,GO:0015670,carbon dioxide transport,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Hbb-b1/Hba-a1,2
B cell,GO:0038094,Fc-gamma receptor signaling pathway,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Lck/Cd247,2
B cell,GO:0043383,negative T cell selection,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Zap70/Cd3e,2
B cell,GO:0060330,regulation of response to type II interferon,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Parp14/Irgm2,2
B cell,GO:0060334,regulation of type II interferon-mediated signaling pathway,2/207,15/28891,0.005044710330912909,0.04715493845031904,0.03806808069260322,Parp14/Irgm2,2
B cell,GO:0070555,response to interleukin-1,4/207,96/28891,0.005088893840186058,0.04741399794788239,0.03827721886946283,Cd40/Snca/Ikbkb/Ccl22,4
B cell,GO:0050856,regulation of T cell receptor signaling pathway,3/207,49/28891,0.005241359146548494,0.04867700962230037,0.03929684548583727,Lck/Thy1/Cd160,3
B cell,GO:0051937,catecholamine transport,4/207,97/28891,0.005278539590802081,0.04886468000617103,0.039448351384298516,Snca/Actb/Prkcb/Pcp4,4
B cell,GO:0045860,positive regulation of protein kinase activity,8/207,369/28891,0.005333333025529159,0.049213672373392456,0.03973009217398239,Cdkn1b/Cd40/Snca/Cdk5rap1/Ccn1/Lat/Irgm2/Ppia,8
B cell,GO:0141060,disruption of anatomical structure in another organism,5/207,156/28891,0.005425147766517668,0.04990095980768168,0.04028493784587527,Hmgn2/Fcer2a/Ccl22/Gapdh/Irgm2,5
Erythrocyte,GO:0007159,leukocyte cell-cell adhesion,17/215,447/28891,4.929327596414331e-8,5.330783744962328e-5,4.6363660550601436e-5,Madcam1/Xbp1/Cd4/Adam8/Dtx1/Cd3e/H2-DMa/Cd160/Pla2g2d/Selenok/Ptafr/Skap1/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,17
Erythrocyte,GO:1903039,positive regulation of leukocyte cell-cell adhesion,14/215,303/28891,7.349891968336126e-8,5.330783744962328e-5,4.6363660550601436e-5,Xbp1/Cd4/Adam8/Cd3e/H2-DMa/Cd160/Selenok/Ptafr/Skap1/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,14
Erythrocyte,GO:0022409,positive regulation of cell-cell adhesion,15/215,354/28891,7.723199149013493e-8,5.330783744962328e-5,4.6363660550601436e-5,Xbp1/Cxcl13/Cd4/Adam8/Cd3e/H2-DMa/Cd160/Selenok/Ptafr/Skap1/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,15
Erythrocyte,GO:1903037,regulation of leukocyte cell-cell adhesion,16/215,407/28891,7.88285951195908e-8,5.330783744962328e-5,4.6363660550601436e-5,Xbp1/Cd4/Adam8/Dtx1/Cd3e/H2-DMa/Cd160/Pla2g2d/Selenok/Ptafr/Skap1/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,16
Erythrocyte,GO:0035966,response to topologically incorrect protein,9/215,135/28891,8.227397548003933e-7,4.2727880612663426e-4,3.7161908033584107e-4,Derl3/Xbp1/Pdia6/Clu/Edem1/Manf/Edem2/Creb3l2/Selenos,9
Erythrocyte,GO:0030970,"retrograde protein transport, ER to cytosol",5/215,26/28891,1.2616584782463287e-6,4.2727880612663426e-4,3.7161908033584107e-4,Derl3/H13/Edem1/Edem2/Selenos,5
Erythrocyte,GO:1903513,endoplasmic reticulum to cytosol transport,5/215,26/28891,1.2616584782463287e-6,4.2727880612663426e-4,3.7161908033584107e-4,Derl3/H13/Edem1/Edem2/Selenos,5
Erythrocyte,GO:0050870,positive regulation of T cell activation,12/215,277/28891,1.2636711456610255e-6,4.2727880612663426e-4,3.7161908033584107e-4,Xbp1/Cd4/Adam8/Cd3e/H2-DMa/Cd160/Selenok/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,12
Erythrocyte,GO:0050867,positive regulation of cell activation,15/215,454/28891,1.7967265340584603e-6,5.400161416253483e-4,4.696706203065098e-4,Xbp1/Cdkn1a/Cd4/Adam8/Gp9/Cd3e/H2-DMa/Cd160/Selenok/Ptafr/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,15
Erythrocyte,GO:0006986,response to unfolded protein,8/215,112/28891,2.0223941168400387e-6,5.470576086052304e-4,4.757948264355249e-4,Derl3/Xbp1/Pdia6/Edem1/Manf/Edem2/Creb3l2/Selenos,8
Erythrocyte,GO:0050863,regulation of T cell activation,14/215,411/28891,2.815176846824579e-6,6.922775791509534e-4,6.020976318328168e-4,Xbp1/Cd4/Adam8/Dtx1/Cd3e/H2-DMa/Cd160/Pla2g2d/Selenok/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,14
Erythrocyte,GO:0070661,leukocyte proliferation,14/215,425/28891,4.138214301985408e-6,8.760662416347495e-4,7.619449557558771e-4,Zbtb32/Tnfrsf13b/Clu/St6gal1/Cdkn1a/Cd4/Mzb1/Cr2/Cd3e/Pla2g2d/Selenok/Slfn2/Il4i1/Il4i1b,14
Erythrocyte,GO:0051251,positive regulation of lymphocyte activation,13/215,367/28891,4.210299867375876e-6,8.760662416347495e-4,7.619449557558771e-4,Xbp1/Cdkn1a/Cd4/Adam8/Cd3e/H2-DMa/Cd160/Selenok/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,13
Erythrocyte,GO:0002696,positive regulation of leukocyte activation,14/215,432/28891,4.987543517929072e-6,9.636646582855815e-4,8.381323129752991e-4,Xbp1/Cdkn1a/Cd4/Adam8/Cd3e/H2-DMa/Cd160/Selenok/Ptafr/Arid1b/Il4i1/Il4i1b/Sirpb1b/Sirpb1a,14
Erythrocyte,GO:0034976,response to endoplasmic reticulum stress,11/215,266/28891,5.496130624194379e-6,9.911355558963864e-4,8.620246978999605e-4,Derl3/H13/Hsp90b1/Xbp1/Pdia6/Clu/Edem1/Manf/Edem2/Selenok/Selenos,11
Erythrocyte,GO:0032943,mononuclear cell proliferation,13/215,389/28891,7.874875247735773e-6,0.0013313460965703292,0.0011579175117558851,Zbtb32/Tnfrsf13b/St6gal1/Cdkn1a/Cd4/Mzb1/Cr2/Cd3e/Pla2g2d/Selenok/Slfn2/Il4i1/Il4i1b,13
Erythrocyte,GO:0032527,protein exit from endoplasmic reticulum,5/215,42/28891,1.4810208062210483e-5,0.0023565654593105507,0.0020495860692904292,Derl3/H13/Edem1/Edem2/Selenos,5
Erythrocyte,GO:0072676,lymphocyte migration,7/215,112/28891,2.1434348147874985e-5,0.0032211062077778796,0.0028015069070468183,Ccl24/Ccl6/Madcam1/Cxcl13/Adam8/Ccl22/Selenok,7
Erythrocyte,GO:0046651,lymphocyte proliferation,12/215,383/28891,3.320422452146285e-5,0.004727233017397738,0.004111437219139583,Zbtb32/Tnfrsf13b/Cdkn1a/Cd4/Mzb1/Cr2/Cd3e/Pla2g2d/Selenok/Slfn2/Il4i1/Il4i1b,12
Erythrocyte,GO:0072677,eosinophil migration,4/215,26/28891,3.9208714595619916e-5,0.005302978649057594,0.004612183006379502,Ccl24/Ccl6/Adam8/Ccl22,4
Erythrocyte,GO:0006457,protein folding,8/215,173/28891,4.8775673210357814e-5,0.006082893248362482,0.005290501570226733,Fkbp11/Hsp90b1/Ahsa1/Clu/Prdx4/H2-DMa/Txndc5/Dnajb3,8
Erythrocyte,GO:0048247,lymphocyte chemotaxis,5/215,54/28891,5.121130127661557e-5,0.006082893248362482,0.005290501570226733,Ccl24/Ccl6/Cxcl13/Adam8/Ccl22,5
Erythrocyte,GO:0030217,T cell differentiation,11/215,339/28891,5.172145830400632e-5,0.006082893248362482,0.005290501570226733,Xbp1/Cd4/Adam8/Dtx1/Cd3e/H2-DMa/Pla2g2d/Arid1b/Il4i1/Il4i1b/Gimap1,11
Erythrocyte,GO:0032944,regulation of mononuclear cell proliferation,10/215,290/28891,6.872579550879317e-5,0.007745969868803564,0.006736936533427753,Tnfrsf13b/St6gal1/Cdkn1a/Cd4/Mzb1/Cd3e/Pla2g2d/Selenok/Il4i1/Il4i1b,10
Erythrocyte,GO:0030098,lymphocyte differentiation,13/215,486/28891,7.895536800592812e-5,0.008449198091108261,0.007348558316422596,Polm/Xbp1/Cd4/Adam8/Cr2/Dtx1/Cd3e/H2-DMa/Pla2g2d/Arid1b/Il4i1/Il4i1b/Gimap1,13
Erythrocyte,GO:0033632,regulation of cell-cell adhesion mediated by integrin,3/215,12/28891,8.50881014023977e-5,0.008449198091108261,0.007348558316422596,Cxcl13/Cd3e/Skap1,3
Erythrocyte,GO:1904152,"regulation of retrograde protein transport, ER to cytosol",3/215,12/28891,8.50881014023977e-5,0.008449198091108261,0.007348558316422596,Derl3/Edem1/Edem2,3
Erythrocyte,GO:1901361,organic cyclic compound catabolic process,13/215,491/28891,8.745935177487295e-5,0.008449198091108261,0.007348558316422596,Khsrp/Hnrnpa0/Cnot8/Noct/Dnase1l3/Hsd17b11/Pan3/Rnps1/Alkbh5/Slfn2/Il4i1/Il4i1b/Rnaset2a,13
Erythrocyte,GO:0070663,regulation of leukocyte proliferation,10/215,313/28891,1.2869872392557458e-4,0.012004484421333768,0.010440713175087447,Tnfrsf13b/St6gal1/Cdkn1a/Cd4/Mzb1/Cd3e/Pla2g2d/Selenok/Il4i1/Il4i1b,10
Erythrocyte,GO:0044270,cellular nitrogen compound catabolic process,12/215,446/28891,1.4079408535816335e-4,0.012285419383671996,0.0106850519787944,Khsrp/Hnrnpa0/Cnot8/Noct/Dnase1l3/Pan3/Rnps1/Alkbh5/Slfn2/Il4i1/Il4i1b/Rnaset2a,12
Erythrocyte,GO:0046700,heterocycle catabolic process,12/215,446/28891,1.4079408535816335e-4,0.012285419383671996,0.0106850519787944,Khsrp/Hnrnpa0/Cnot8/Noct/Dnase1l3/Pan3/Rnps1/Alkbh5/Slfn2/Il4i1/Il4i1b/Rnaset2a,12
Erythrocyte,GO:0036503,ERAD pathway,6/215,109/28891,1.6957529891673068e-4,0.01433441198655489,0.012467131351279378,Derl3/H13/Hsp90b1/Edem1/Edem2/Selenos,6
Erythrocyte,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,5/215,70/28891,1.7797707079284718e-4,0.014588726560443988,0.012688317487145566,Cdkn1b/Rgcc/Cdkn1a/Cdk5rap1/Sfn,5
Erythrocyte,GO:0019439,aromatic compound catabolic process,12/215,467/28891,2.1496563920749833e-4,0.01710241335459656,0.01487455738788727,Khsrp/Hnrnpa0/Cnot8/Noct/Dnase1l3/Pan3/Rnps1/Alkbh5/Slfn2/Il4i1/Il4i1b/Rnaset2a,12
Erythrocyte,GO:1904029,regulation of cyclin-dependent protein kinase activity,5/215,74/28891,2.3125107114029388e-4,0.017872404212414143,0.015544244932287427,Cdkn1b/Rgcc/Cdkn1a/Cdk5rap1/Sfn,5
Erythrocyte,GO:1903573,negative regulation of response to endoplasmic reticulum stress,4/215,41/28891,2.4338246812353358e-4,0.01828748822983773,0.015905257785266014,Xbp1/Pdia6/Clu/Selenos,4
Erythrocyte,GO:2000403,positive regulation of lymphocyte migration,4/215,43/28891,2.931642196412509e-4,0.021231624296030555,0.018465874229644245,Madcam1/Cxcl13/Adam8/Selenok,4
Erythrocyte,GO:0033631,cell-cell adhesion mediated by integrin,3/215,18/28891,3.053595940031303e-4,0.021231624296030555,0.018465874229644245,Cxcl13/Cd3e/Skap1,3
Erythrocyte,GO:0050670,regulation of lymphocyte proliferation,9/215,286/28891,3.1183174889371163e-4,0.021231624296030555,0.018465874229644245,Tnfrsf13b/Cdkn1a/Cd4/Mzb1/Cd3e/Pla2g2d/Selenok/Il4i1/Il4i1b,9
Erythrocyte,GO:1905897,regulation of response to endoplasmic reticulum stress,5/215,79/28891,3.1396117258455534e-4,0.021231624296030555,0.018465874229644245,Xbp1/Pdia6/Clu/Manf/Selenos,5
Erythrocyte,GO:0045047,protein targeting to ER,4/215,45/28891,3.4985394759669394e-4,0.022440274319159115,0.019517078744360587,Srp68/Srp9/Edem1/Srp54a,4
Erythrocyte,GO:0045582,positive regulation of T cell differentiation,6/215,125/28891,3.5600673071219043e-4,0.022440274319159115,0.019517078744360587,Xbp1/Adam8/H2-DMa/Arid1b/Il4i1/Il4i1b,6
Erythrocyte,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,3/215,19/28891,3.6062900561937346e-4,0.022440274319159115,0.019517078744360587,Srp68/Srp9/Srp54a,3
Erythrocyte,GO:0006612,protein targeting to membrane,6/215,126/28891,3.7151915429148796e-4,0.022440274319159115,0.019517078744360587,Zdhhc4/Srp68/Srp9/Nacad/Irgm2/Srp54a,6
Erythrocyte,GO:2000242,negative regulation of reproductive process,5/215,82/28891,3.733132511505213e-4,0.022440274319159115,0.019517078744360587,Cdkn1b/Ube2b/Myh9/Eaf2/Prdx4,5
Erythrocyte,GO:0030433,ubiquitin-dependent ERAD pathway,5/215,83/28891,3.948654676271885e-4,0.02321980630285967,0.020195064534250944,Derl3/Hsp90b1/Edem1/Edem2/Selenos,5
Erythrocyte,GO:0006401,RNA catabolic process,9/215,297/28891,4.103243412681192e-4,0.023615475385750262,0.020539191550599023,Khsrp/Hnrnpa0/Cnot8/Noct/Pan3/Rnps1/Alkbh5/Slfn2/Rnaset2a,9
Erythrocyte,GO:0006613,cotranslational protein targeting to membrane,3/215,20/28891,4.219471265782288e-4,0.0237784786957106,0.020680961138209244,Srp68/Srp9/Srp54a,3
Erythrocyte,GO:0043487,regulation of RNA stability,7/215,182/28891,4.4605333040314947e-4,0.02462396446409223,0.021416309204103957,Khsrp/Hnrnpa0/Cnot8/Noct/Pan3/Alkbh5/Slfn2,7
Erythrocyte,GO:0006605,protein targeting,9/215,303/28891,4.7403169678260435e-4,0.02528580438178337,0.0219919341544064,Zdhhc4/Srp68/Clu/Srp9/Pan3/Edem1/Nacad/Irgm2/Srp54a,9
Erythrocyte,GO:1903311,regulation of mRNA metabolic process,9/215,304/28891,4.8540009396517086e-4,0.02528580438178337,0.0219919341544064,Khsrp/Hnrnpa0/Cnot8/Sap18/Noct/Pan3/Rnps1/Rbmxl1/Alkbh5,9
Erythrocyte,GO:0072599,establishment of protein localization to endoplasmic reticulum,4/215,49/28891,4.8608570345757315e-4,0.02528580438178337,0.0219919341544064,Srp68/Srp9/Edem1/Srp54a,4
Erythrocyte,GO:0042445,hormone metabolic process,8/215,246/28891,5.401463252425689e-4,0.027567845467568845,0.023976703811661202,Hsp90b1/Cacna1h/Hsd17b11/Star/Tg/Ide/Il4i1/Il4i1b,8
Erythrocyte,GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,3/215,22/28891,5.637791801449547e-4,0.02772768513258368,0.024115721868401413,Cdkn1b/Rgcc/Cdk5rap1,3
Erythrocyte,GO:0048245,eosinophil chemotaxis,3/215,22/28891,5.637791801449547e-4,0.02772768513258368,0.024115721868401413,Ccl24/Ccl6/Ccl22,3
Erythrocyte,GO:0045580,regulation of T cell differentiation,7/215,190/28891,5.763455831606383e-4,0.027839550043741546,0.02421301463090276,Xbp1/Adam8/Dtx1/H2-DMa/Arid1b/Il4i1/Il4i1b,7
Erythrocyte,GO:1990266,neutrophil migration,6/215,138/28891,6.021263925759598e-4,0.028574594595052127,0.024852308170032693,Ccl24/Ccl6/Cxcl13/Adam8/Ccl22/Selenok,6
Erythrocyte,GO:0070861,regulation of protein exit from endoplasmic reticulum,3/215,23/28891,6.448009994222939e-4,0.0300721845420225,0.02615481367892608,Derl3/Edem1/Edem2,3
Erythrocyte,GO:0001881,receptor recycling,4/215,53/28891,6.563941268629268e-4,0.030094001918037575,0.02617378900158147,Ache/Ehd3/Trat1/Ide,4
Erythrocyte,GO:0045621,positive regulation of lymphocyte differentiation,6/215,141/28891,6.74177846238357e-4,0.030394184567912597,0.02643486818145137,Xbp1/Adam8/H2-DMa/Arid1b/Il4i1/Il4i1b,6
Erythrocyte,GO:0042113,B cell activation,9/215,320/28891,6.999772394499355e-4,0.031039974306755338,0.026996533738923315,Tnfrsf13b/Polm/Xbp1/Cdkn1a/Mzb1/Cr2/Blnk/Il4i1/Gimap1,9
Erythrocyte,GO:0033630,positive regulation of cell adhesion mediated by integrin,3/215,24/28891,7.32887509487588e-4,0.03197517279296654,0.02780990804252562,Cxcl13/Cd3e/Skap1,3
Erythrocyte,GO:0071674,mononuclear cell migration,7/215,199/28891,7.573126440534624e-4,0.0325163603518193,0.028280597484703233,Ccl24/Ccl6/Madcam1/Cxcl13/Adam8/Ccl22/Selenok,7
Erythrocyte,GO:0097193,intrinsic apoptotic signaling pathway,9/215,327/28891,8.155272873493049e-4,0.03394677310620863,0.029524676677644246,Ubb/Xbp1/Clu/Eaf2/Cdkn1a/Selenok/Sfn/Eno1/Selenos,9
Erythrocyte,GO:1904031,positive regulation of cyclin-dependent protein kinase activity,3/215,25/28891,8.282761645137781e-4,0.03394677310620863,0.029524676677644246,Cdkn1b/Rgcc/Cdk5rap1,3
Erythrocyte,GO:2000353,positive regulation of endothelial cell apoptotic process,3/215,25/28891,8.282761645137781e-4,0.03394677310620863,0.029524676677644246,Xbp1/Rgcc/Cd160,3
Erythrocyte,GO:0032496,response to lipopolysaccharide,10/215,401/28891,9.016063098784931e-4,0.03640067266001976,0.03165891755818432,Hnrnpa0/Slpi/Xbp1/Cxcl13/Noct/Cr2/Ptafr/Nuggc/Irgm2/Selenos,10
Erythrocyte,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,3/215,26/28891,9.311980058074534e-4,0.03704250890748767,0.03221714462816809,Cdkn1b/Cdkn1a/Cdk5rap1,3
Erythrocyte,GO:0033619,membrane protein proteolysis,4/215,59/28891,9.85358372048396e-4,0.03818659780467575,0.03321219811010811,H13/Myh9/Adam8/Aph1b,4
Erythrocyte,GO:0042098,T cell proliferation,8/215,270/28891,9.881929191598161e-4,0.03818659780467575,0.03321219811010811,Zbtb32/Cd4/Cd3e/Pla2g2d/Selenok/Slfn2/Il4i1/Il4i1b,8
Erythrocyte,GO:0033622,integrin activation,3/215,27/28891,0.0010418777613985357,0.038894507483477135,0.03382789151690686,Cxcl13/Mzb1/Skap1,3
